Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA60,EMA12,EMA26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,Price_Change,Price_Change_Abs,Volume_MA5,Volume_MA20
2020-02-29,1668.2295303277133,1680.8773646794318,1642.321279351531,1670.166452216105,337911,1656.9154401526448,1646.357444980229,1655.5289717091878,1735.3118420883832,1654.267835167547,1670.7820401264678,-16.5142049589208,-22.821513188078185,6.307308229157385,58.806751426875906,1655.5289717091878,1694.9690313619976,1616.088912056378,0.010073458087909826,0.010073458087909826,322132.2,287654.15
2020-03-01,1662.8275886997146,1663.9924532742814,1645.4240652917651,1655.9610365120222,432975,1655.747097679363,1647.5705534792603,1653.9489480572422,1732.8020904734524,1654.5283276820817,1669.6841880068791,-15.155860324797459,-21.28838261542204,6.132522290624582,54.4507228469987,1653.9489480572422,1690.4047920197208,1617.4931040947636,-0.008505389199521929,0.008505389199521929,336518.0,299545.9
2020-03-02,1658.5253814381776,1669.0765449005257,1626.824299882699,1655.206942401358,390182,1656.8326229771537,1649.5953071653814,1652.4652225515306,1730.3720074110045,1654.6327299465856,1668.6117994435072,-13.979069496921511,-19.826519991721938,5.847450494800427,49.965649377600535,1652.4652225515306,1685.9115489032022,1619.018896199859,-0.0004553815542982509,0.0004553815542982509,353951.6,296744.1
2020-03-03,1648.1024502392868,1646.6126014234121,1630.3587202752385,1642.0069331589293,335530,1655.3702507866478,1651.732106277444,1650.0378640014449,1727.4203911329544,1652.6902996715617,1666.6410686076124,-13.950768936050736,-18.6513697805877,4.7006008445369645,44.61680767877546,1650.0378640014449,1678.523838647076,1621.5518893558137,-0.00797483922057396,0.00797483922057396,394272.8,307669.85
2020-03-04,1621.8474041924146,1638.80651374507,1615.95483291344,1623.2196193095986,479080,1649.3121967196028,1651.053808463037,1646.8990583092068,1723.8403770904329,1648.1563488466443,1663.4246649559077,-15.268316109263424,-17.974759046322845,2.706442937059421,44.69338815460349,1646.8990583092068,1672.3780442451584,1621.4200723732552,-0.01144167754102432,0.01144167754102432,395135.6,308007.65
2020-03-05,1637.4954754756568,1649.3669211255128,1624.3893636638174,1638.748908345457,371280,1643.028687945473,1649.9720640490589,1645.959664644703,1720.5828725207532,1646.709050308,1661.5968311329113,-14.88778082491126,-17.35736340204053,2.4695825771292697,48.41378551347794,1645.959664644703,1671.1712472721879,1620.7480820172182,0.009566967310599361,0.009566967310599361,401809.4,315342.6
2020-03-06,1649.1253588207812,1668.773011748061,1624.2845857089583,1655.84547331919,375357,1643.0055753069064,1649.3763364931347,1646.4775210452215,1717.6128630995338,1648.1146538481833,1661.1708046281913,-13.05615078000801,-16.49712087763403,3.4409700976260176,56.20174747103044,1646.4775210452215,1672.070929260981,1620.8841128294619,0.010432693432573581,0.010432693432573581,390285.8,319797.0
2020-03-07,1651.656708440622,1663.188774675724,1638.6562769136797,1659.1365342653107,308680,1643.7914936796974,1650.3120583284258,1647.3097689459432,1714.325150190682,1649.8103277585105,1661.0201179346445,-11.209790176133993,-15.439654737334022,4.22986456120003,62.232395741707734,1647.3097689459432,1673.434438524939,1621.1850993669475,0.0019875411076395455,0.0019875411076395455,373985.4,327738.55
2020-03-08,1672.2113847844244,1684.5321204744105,1652.5295168072316,1670.353749401765,208546,1649.4608569282645,1652.415553857456,1648.062325603399,1711.108605224487,1652.970854165165,1661.71149804332,-8.74064387815497,-14.099852565498212,5.3592086873432425,62.67208741211938,1648.062325603399,1675.96320206438,1620.1614491424177,0.0067608752533567795,0.0067608752533567795,348588.6,314322.7
2020-03-09,1678.4922425012471,1685.3826080011593,1661.698069981812,1677.4332342902974,127431,1660.303579924404,1654.8078883220035,1649.028072550526,1708.0730588857384,1656.7342972613392,1662.8760710986517,-6.141773837312485,-12.508236819861068,6.366462982548583,59.49607265896205,1649.028072550526,1679.6034469413446,1618.4526981597076,0.004238314722895042,0.004238314722895042,278258.8,314901.65
